Number Legend DmgTaken DmgDone
1 Ada 426.92 472
2 Arcadia 408.49 494
3 Artemis 403.04 430
4 Asuri 402.17 423
5 Azoth 406.82 467
6 Barraza 414.92 445
7 Brynn 429.88 464
8 Bödvar 416.33 431
9 Caspian 407.64 459
10 Cassidy 415.49 443
11 Cross 416.33 433
12 Diana 414.54 430
13 Dusk 418.79 468
14 Ember 416.36 447
15 Ezio 411.81 439
16 Fait 404.35 446
17 Gnash 413.02 457
18 Hattori 428.35 453
19 Isaiah 409.16 451
20 Jaeyun 417.45 467
21 Jhala 418.05 459
22 Jiro 405.65 439
23 Kaya 432.87 477
24 Koji 421.73 449
25 Kor 409.95 444
26 LinFei 416.53 457
27 Loki 403.54 460
28 Lord_Vraxx 402.49 428
29 Lucien 409.28 436
30 Magyar 413.89 463
31 Mako 403.26 461
32 Mirage 407.29 454
33 Mordex 403.68 431
34 Munin 394.81 435
35 Nix 403.06 425
36 Onyx 409.65 459
37 Orion 416.6 464
38 Petra 417.87 458
39 QueenNai 410.8 468
40 Ragnir 408.18 449
41 Rayman 420.35 444
42 Reno 416.03 450
43 Scarlet 413.05 447
44 Sentinel 410.04 457
45 Sidra 411.1 452
46 SirRoland 399.44 450
47 Teros 415.35 439
48 Tezca 400.5 418
49 Thatch 421 458
50 Thea 393.92 418
51 Thor 408.43 446
52 Ulgrim 418.21 448
53 Val 417.38 423
54 Vector 395.04 435
55 Volkov 403.22 439
56 WuShang 427.12 444
57 Xull 413.76 471
58 Yumiko 397.52 405
59 Zariel 414.29 447
